article,name,qty
783,.Транспортные услуги (без разгрузки),1.0
AG-B/3127,"Суфле ""Мишка розовый"" 0, (пакет)",2.0
AG-B/3102,"Суфле ""Мороженное 12гр"" (розово-желтое) 0, (пакет)",1.0
AG-B/3164,"Суфле ""Ежевика"" с нач. (пакет)",1.0
AG-B/3802,"Суфле ""Клубника розовая с начинкой"" (пакет)",1.0
AG-B/3146,"Суфле ""Малина"" с начинкой (пакет)",1.0
AG-B/3130,"Суфле ""Персик с начинкой"" (пакет)",1.0
AG-B/3130,"Суфле ""Яблоко с начинкой"" (пакет)",1.0
8412957003928,"Жевательный мармелад HALAL ""Гигантская Кола бутылочка""",3.0
2412957002518,"Жевательный мармелад HALAL ""Ягоды в обсыпке ассорти""",1.0
8412957002082,"Жевательный мармелад HALAL Хрустящие астероиды ""Ягоды в обсыпке кислые""",3.0
55546,"Мармелад жев. HALAL ""Жгутики мини в сахаре с начинкой ананас""",2.0
55348,"Мармелад жев. HALAL""Кислые мини палочки разноцветные""",2.0
56441,"Мармелад жев. HALAL""Мини палочки разноцветные""",2.0
56219,"Мармелад жев.""Гигантские палочки 6-цветные в сахаре"" 1,",1.0
56218,"Мармелад жев.""Гигантские палочки 6-цветные"" 1,",1.0
56216,"Мармелад жев.""Гигантские палочки Кола в сахаре"" 1,",1.0
56213,"Мармелад жев.""Гигантские палочки Кола"" 1,",1.0
62006,"Мармелад жев. HALAL ""Бананы""",2.0
66538,"Мармелад жев. HALAL ""Бобы желе со вкусом Ананас""",2.0
66571,"Мармелад жев. HALAL ""Бобы желе со вкусом колы""",1.0
66513,"Мармелад жев. HALAL ""Бобы желе со вкусом Малина""",2.0
66537,"Мармелад жев. HALAL ""Бобы желе со вкусом Яблоко""",1.0
62448,"Мармелад жев. HALAL ""Гигантская яичница"" 37гр",4.0
64330,"Мармелад жев. HALAL ""Гигантский виноград""",2.0
62332,"Мармелад жев. HALAL ""Дольки синие супер кислые""",3.0
64550,"Мармелад жев. HALAL ""Клубника в сахаре супер кислая""",2.0
62373,"Мармелад жев. HALAL ""Мышки разноцветные""",2.0
66663,"Мармелад жев. HALAL ""Фрукты в сахаре супер кислые""",1.0
62009,"Мармелад жев. HALAL ""Червячки в сахаре""",2.0
64546,"Мармелад жев. HALAL ""Червячки кола""",3.0
62015,"Мармелад жев. HALAL ""Червячки неоновые фруктовые""",2.0
62013,"Мармелад жев. HALAL ""Яичница""",4.0
62433,"Мармелад жев. HALAL ""Сердца с начинкой"" голубые в обсыпке",2.0
62434,"Мармелад жев. HALAL ""Сердца с начинкой"" розовые в обсыпке",2.0
5090010028,"Мармелад жев.""Черепа с начинкой""",2.0
7060010083,"Мармелад жев.""Гигантская Клубника""",3.0
5050010055,"Мармелад жев.""Гигантская Клубника"" в сахаре",3.0
7020010330,"Мармелад жев.""Гигантские Лягушки""",2.0
7040050001,"Мармелад жев.""Зубная щетка"" 1,",1.0
5060010008,"Мармелад жев.""Клубника""",2.0
5060050024,"Мармелад жев.""Клубничный микс"" кислый 1,",1.0
5050010001,"Мармелад жев.""Кольца мини ассорти"" кислые 7гр",2.0
5050010053,"Мармелад жев.""Манго"" кислое 7гр",1.0
5020010014,"Мармелад жев.""Черепашки""",2.0
5030010010,"Мармелад жев.""Яблоко в сахаре""",2.0
5370050002,"Мармелад жев.""Блоки клубника кислые в сахаре"" 1,",2.0
5370050006,"Мармелад жев.""Жгутики мини Клубника с начинкой"" 1,",1.0
5371690004,"Мармелад жев.""Палочки гигантские Арбуз подсах."" 1,",1.0
7321060201,"Мармелад жев.""Палочки гигантские Арбуз"" 1,",1.0
5301690004,"Мармелад жев.""Палочки гигантские Клубничный крем (белые с красной нач.)"" 1,",1.0
7321060200,"Мармелад жев.""Палочки гигантские Торнадо 6 цветов"" 1,",1.0
5371690007,"Мармелад жев.""Палочки гигантские Торнадо 6 цветов"" подсах. 1,",1.0
7320010084,"Мармелад жев.""Фруктовая атака""",2.0
5351690001,"Мармелад жев.""Подсахаренные пластинки Клубника"" 1,",1.0
5351690003,"Мармелад жев.""Подсахаренные пластинки Кола"" 1,",1.0
5351690004,"Мармелад жев.""Подсахаренные пластинки Малина"" 1,",1.0
5351690002,"Мармелад жев.""Подсахаренные пластинки Фантазия"" 1,",1.0
5600150041,"Суфле «Палочки спирали разноцветные» 0,",1.0
7100010042,"Мармелад жев.""Красные и черные ягоды в обсыпке""",2.0
5100050004,"Мармелад жев.""Ягоды голубые в обсыпке"" 1,",1.0
5100050007,"Мармелад жев.""Ягоды разноцветные в обсыпке"" 1,",1.0
RA3692,"Жевательный мармелад ""Кольца ассорти двухцветные Экстра кислые""",2.0
RA4893Н,"Жевательный мармелад HALAL ""Гигантская кола бутылочка в сахаре""",2.0
RA3701Н,"Жевательный мармелад HALAL ""Кольца арбуз"" экстра кислые 10гр",2.0
RA4061H,"Жевательный мармелад HALAL ""Кольца кола"" 10гр",2.0
RA3698H,"Жевательный мармелад HALAL ""Кольца Манго-Маракуйя"" экстра кислые",2.0
RA3699H,"Жевательный мармелад HALAL ""Кольца черная смородина, сливки"" экстра кислые",2.0
146000521,"Мармелад жев.""Змейки""",2.0
142000521,"Мармелад жев.""Морская звезда"" 13гр",2.0
111000521,"Мармелад жев.""Осьминоги""",2.0
